threshold,total instances,total fails,explanation loss [%],average area
0.0,5868,0,0.0,1.0
0.10000000000000001,5868,380,6.48,0.96
0.20000000000000001,5868,638,10.87,0.87
0.30000000000000004,5868,782,13.33,0.77
0.40000000000000002,5868,910,15.51,0.65
0.5,5868,1124,19.15,0.53
0.60000000000000009,5868,1522,25.94,0.39
0.70000000000000007,5868,2204,37.56,0.26
0.80000000000000004,5868,2882,49.11,0.14
0.90000000000000002,5868,3336,56.85,0.04
1.0,5868,3390,57.77,0.0
1.1000000000000001,5868,3390,57.77,0.0
