threshold,total instances,total fails,explanation loss [%],average area
0.0,7966,5071,63.66,0.0
0.10000000000000001,7966,5138,64.5,0.04
0.20000000000000001,7966,4860,61.01,0.13
0.30000000000000004,7966,4186,52.55,0.25
0.40000000000000002,7966,3138,39.39,0.39
0.5,7966,2093,26.27,0.53
0.60000000000000009,7966,1285,16.13,0.67
0.70000000000000007,7966,761,9.55,0.8
0.80000000000000004,7966,402,5.05,0.9
0.90000000000000002,7966,180,2.26,0.97
1.0,7966,2,0.03,1.0
1.1000000000000001,7966,0,0.0,1.0
